condition,trial,sample,logical_neuron,replica,physical_coordinate,nominal_input_s,first_spike_s,fired,spike_count
ttfs_M1_local-pool_dedicated,0,5,24,0,6,2.4999999999999998e-05,3.0095999999999994e-05,1,1
ttfs_M1_local-pool_dedicated,0,5,25,0,134,1.9999999999999998e-05,,0,0
ttfs_M1_local-pool_dedicated,0,5,26,0,262,2.4999999999999998e-05,3.0247999999999996e-05,1,1
ttfs_M1_local-pool_dedicated,0,5,27,0,390,2.4999999999999998e-05,2.9607999999999995e-05,1,1
ttfs_M1_local-pool_dedicated,0,5,28,0,7,2.4999999999999998e-05,2.9887999999999996e-05,1,1
ttfs_M1_local-pool_dedicated,0,5,29,0,135,2.4999999999999998e-05,2.9759999999999996e-05,1,1
ttfs_M1_local-pool_dedicated,0,6,0,0,0,2.1e-05,,0,0
ttfs_M1_local-pool_dedicated,0,6,1,0,128,2.1e-05,,0,0
ttfs_M1_local-pool_dedicated,0,6,2,0,256,2.4999999999999998e-05,,0,0
ttfs_M1_local-pool_dedicated,0,6,3,0,384,2.4999999999999998e-05,,0,0
ttfs_M1_local-pool_dedicated,0,6,4,0,1,2.4999999999999998e-05,,0,0
ttfs_M1_local-pool_dedicated,0,6,5,0,129,2.2e-05,,0,0
ttfs_M1_local-pool_dedicated,0,6,6,0,257,2.4999999999999998e-05,3.0952e-05,1,1
ttfs_M1_local-pool_dedicated,0,6,7,0,385,2.4999999999999998e-05,,0,0
ttfs_M1_local-pool_dedicated,0,6,8,0,2,2.4999999999999998e-05,3.2103999999999996e-05,1,1
ttfs_M1_local-pool_dedicated,0,6,9,0,130,2.2e-05,,0,0
ttfs_M1_local-pool_dedicated,0,6,10,0,258,2.4999999999999998e-05,,0,0
ttfs_M1_local-pool_dedicated,0,6,11,0,386,2.4999999999999998e-05,3.1672e-05,1,1
ttfs_M1_local-pool_dedicated,0,6,12,0,3,2.4999999999999998e-05,3.1008e-05,1,1
ttfs_M1_local-pool_dedicated,0,6,13,0,131,2.2e-05,,0,0
ttfs_M1_local-pool_dedicated,0,6,14,0,259,2.1e-05,,0,0
ttfs_M1_local-pool_dedicated,0,6,15,0,387,2.4999999999999998e-05,3.057599999999999e-05,1,1
ttfs_M1_local-pool_dedicated,0,6,16,0,4,1.9999999999999998e-05,2.4191999999999998e-05,1,1
ttfs_M1_local-pool_dedicated,0,6,17,0,132,2.4999999999999998e-05,3.1855999999999995e-05,1,1
ttfs_M1_local-pool_dedicated,0,6,18,0,260,2.2e-05,2.6119999999999997e-05,1,1
ttfs_M1_local-pool_dedicated,0,6,19,0,388,1.9999999999999998e-05,2.4711999999999997e-05,1,1
ttfs_M1_local-pool_dedicated,0,6,20,0,5,2.2e-05,2.6855999999999995e-05,1,1
ttfs_M1_local-pool_dedicated,0,6,21,0,133,2.1e-05,,0,0
ttfs_M1_local-pool_dedicated,0,6,22,0,261,2.4e-05,,0,0
ttfs_M1_local-pool_dedicated,0,6,23,0,389,2.1e-05,,0,0
ttfs_M1_local-pool_dedicated,0,6,24,0,6,2.4999999999999998e-05,3.0696e-05,1,1
ttfs_M1_local-pool_dedicated,0,6,25,0,134,2.4999999999999998e-05,3.1991999999999995e-05,1,1
ttfs_M1_local-pool_dedicated,0,6,26,0,262,2.4999999999999998e-05,3.0591999999999994e-05,1,1
ttfs_M1_local-pool_dedicated,0,6,27,0,390,2.4999999999999998e-05,3.0063999999999995e-05,1,1
ttfs_M1_local-pool_dedicated,0,6,28,0,7,2.4999999999999998e-05,3.0319999999999994e-05,1,1
ttfs_M1_local-pool_dedicated,0,6,29,0,135,2.4999999999999998e-05,2.9951999999999997e-05,1,1
ttfs_M1_local-pool_dedicated,0,7,0,0,0,2.2e-05,,0,0
ttfs_M1_local-pool_dedicated,0,7,1,0,128,2.4999999999999998e-05,,0,0
ttfs_M1_local-pool_dedicated,0,7,2,0,256,2.3e-05,,0,0
ttfs_M1_local-pool_dedicated,0,7,3,0,384,2.4999999999999998e-05,,0,0
ttfs_M1_local-pool_dedicated,0,7,4,0,1,2.4999999999999998e-05,,0,0
