primitive,stage,split,device,physical_coordinate,input_code,ideal_variable,sample_count,mean,variance,miss_rate,multiple_spike_rate,saturation_rate
phi-np,dynamic,calibration,2,13,31.0,31.0,128,1.0374625000000038e-05,6.088880314961338e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,3,1,0.0,0.0,128,1.5158187500000036e-05,4.32581692913398e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,3,1,1.0,1.0,128,1.5038187500000038e-05,5.6186169291337875e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,3,1,2.0,2.0,128,1.4686437500000034e-05,5.313719291339085e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,3,1,3.0,3.0,128,1.4671312500000038e-05,4.640254724409838e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,3,1,4.0,4.0,128,1.4404812500000034e-05,6.482579133858352e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,3,1,5.0,5.0,128,1.4155187500000036e-05,4.70307677165374e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,3,1,6.0,6.0,128,1.3970312500000039e-05,3.7641224409448514e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,3,1,7.0,7.0,128,1.3854687500000038e-05,6.784985433070864e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,3,1,8.0,8.0,128,1.3609125000000037e-05,3.0494976377952724e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,3,1,9.0,9.0,128,1.3477312500000035e-05,5.778975984252292e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,3,1,10.0,10.0,128,1.3265750000000038e-05,3.9869417322837125e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,3,1,11.0,11.0,128,1.310081250000004e-05,4.72988622047265e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,3,1,12.0,12.0,128,1.2842437500000037e-05,5.816497244094487e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,3,1,13.0,13.0,128,1.2778750000000038e-05,4.905165354331146e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,3,1,14.0,14.0,128,1.2494750000000037e-05,2.3348850393701566e-14,0.0,0.0,0.0
